Row Labels,Count of Application
logrotate,124
/etc/cron.daily/logrotate,62
/usr/sbin/logrotate,62
fuse-overlayfs,117
/usr/bin/fuse-overlayfs,117
cqperl_main,116
/opt/hcl/compass/linux_x86_64/bin/cqperl_main,116
nvim,116
/home/cadappl_RHEL8/neovim/0.11.0/neovim/bin/nvim,74
/home/cadappl_RHEL8/neovim/0.12.1/neovim/bin/nvim,22
/tmp/.mount_nvimAjCeMC/usr/bin/nvim,2
/tmp/.mount_nvimAJcMDF/usr/bin/nvim,2
/tmp/.mount_nvimDEIMfg/usr/bin/nvim,2
/tmp/.mount_nvimENMFiK/usr/bin/nvim,2
/tmp/.mount_nvimNFpgaE/usr/bin/nvim,2
/tmp/.mount_nvimnJjejh/usr/bin/nvim,2
/tmp/.mount_nvimOaNBIK/usr/bin/nvim,2
/tmp/.mount_nvimpELlDm/usr/bin/nvim,2
/tmp/.mount_nvimpHHdhG/usr/bin/nvim,2
/tmp/.mount_nvimpJenMM/usr/bin/nvim,2
tee,115
/usr/bin/tee,115
ctxgfx,113
/opt/Citrix/VDA/bin/ctxgfx,113
pact,113
/boa_prd/jonispe1/generic-motion-hardware-abstraction-test/.venv/bin/pact,4
/boa_prd/jonispe1/shadow-bazel-fc-025/BB-025-0016A/.venv/bin/pact,1
/boa_prd/jonispe1/shadow-bazel-fc-025/BB-025-0111A/.venv/bin/pact,3
/buildstore/git/.venv/bin/pact,4
/buildstore/git/fc/grpc/.venv/bin/pact,50
/buildstore/git/fc/reticle-masking_duv-1e/.venv/bin/pact,7
